,Location,Developed,Grass/Open Space,Strawberries,Field_Crops,Fruits_Vegetable_Crops,Forest/Shrubland,Wetlands,Tree_Crops
Pixel2018,Azevedo Pond,1220,6593,859,570,11,2621,1487,5
Prop2018,Azevedo Pond,0.09,0.49,0.06,0.04,0,0.2,0.11,0
Pixel2017,Azevedo Pond,1280,6333,892,257,158,2925,1936,49
Prop2017,Azevedo Pond,0.09,0.46,0.06,0.02,0.01,0.21,0.14,0
Pixel2016,Azevedo Pond,1252,6564,466,629,129,2836,1794,3
Prop2016,Azevedo Pond,0.09,0.48,0.03,0.05,0.01,0.21,0.13,0
Pixel2015,Azevedo Pond,1316,7648,259,113,5,2104,1526,15
Prop2015,Azevedo Pond,0.1,0.59,0.02,0.01,0,0.16,0.12,0
Pixel2014,Azevedo Pond,1277,6778,1064,203,507,2130,1780,5
Prop2014,Azevedo Pond,0.09,0.49,0.08,0.01,0.04,0.15,0.13,0
Pixel2013,Azevedo Pond,1225,7213,34,169,1465,1771,1741,2
Prop2013,Azevedo Pond,0.09,0.53,0,0.01,0.11,0.13,0.13,0
Pixel2012,Azevedo Pond,1150,7084,107,1049,655,1781,1571,0
Prop2012,Azevedo Pond,0.09,0.53,0.01,0.08,0.05,0.13,0.12,0
Pixel2011,Azevedo Pond,1229,7770,16,99,5,2389,2642,2
Prop2011,Azevedo Pond,0.09,0.55,0,0.01,0,0.17,0.19,0
Pixel2010,Azevedo Pond,1232,6281,664,1333,357,1474,227,1307
Prop2010,Azevedo Pond,0.1,0.49,0.05,0.1,0.03,0.11,0.02,0.1
Pixel2009,Azevedo Pond,1203,8475,299,50,24,2522,1615,1
Prop2009,Azevedo Pond,0.08,0.6,0.02,0,0,0.18,0.11,0
Pixel2008,Azevedo Pond,1279,8642,55,8,1,2043,2024,29
Prop2008,Azevedo Pond,0.09,0.61,0,0,0,0.15,0.14,0
Pixel2007,Azevedo Pond,347,2110,0,482,12,562,498,0
Prop2007,Azevedo Pond,0.09,0.53,0,0.12,0,0.14,0.12,0
Pixel2018,East Bennett,2215,5508,2009,1095,19,604,814,16
Prop2018,East Bennett,0.18,0.45,0.16,0.09,0,0.05,0.07,0
Pixel2017,East Bennett,2373,6189,2011,337,16,329,897,35
Prop2017,East Bennett,0.19,0.51,0.17,0.03,0,0.03,0.07,0
Pixel2016,East Bennett,2095,5466,1091,1483,60,1063,1403,5
Prop2016,East Bennett,0.17,0.43,0.09,0.12,0,0.08,0.11,0
Pixel2015,East Bennett,2148,7026,695,658,34,422,1130,47
Prop2015,East Bennett,0.18,0.58,0.06,0.05,0,0.03,0.09,0
Pixel2014,East Bennett,2102,5583,2444,193,652,757,639,6
Prop2014,East Bennett,0.17,0.45,0.2,0.02,0.05,0.06,0.05,0
Pixel2013,East Bennett,1892,6454,99,417,2482,83,1165,57
Prop2013,East Bennett,0.15,0.51,0.01,0.03,0.2,0.01,0.09,0
Pixel2012,East Bennett,2186,2483,17,1743,947,4119,923,0
Prop2012,East Bennett,0.17,0.19,0,0.13,0.07,0.32,0.07,0
Pixel2011,East Bennett,2216,7713,58,204,8,373,1764,0
Prop2011,East Bennett,0.18,0.63,0,0.02,0,0.03,0.14,0
Pixel2010,East Bennett,2482,4675,201,3817,268,144,748,114
Prop2010,East Bennett,0.2,0.38,0.02,0.31,0.02,0.01,0.06,0.01
Pixel2009,East Bennett,2302,7183,1396,393,88,109,1075,3
Prop2009,East Bennett,0.18,0.57,0.11,0.03,0.01,0.01,0.09,0
Pixel2008,East Bennett,2007,8920,41,3,10,799,666,29
Prop2008,East Bennett,0.16,0.72,0,0,0,0.06,0.05,0
Pixel2007,East Bennett,584,1766,454,521,32,37,205,4
Prop2007,East Bennett,0.16,0.49,0.13,0.14,0.01,0.01,0.06,0
Pixel2018,Moro Cojo,1804,2191,56,91,0,72,520,0
Prop2018,Moro Cojo,0.38,0.46,0.01,0.02,0,0.02,0.11,0
Pixel2017,Moro Cojo,1775,2500,18,32,1,45,391,0
Prop2017,Moro Cojo,0.37,0.52,0,0.01,0,0.01,0.08,0
Pixel2016,Moro Cojo,1739,2361,97,47,0,158,369,0
Prop2016,Moro Cojo,0.36,0.49,0.02,0.01,0,0.03,0.08,0
Pixel2015,Moro Cojo,1813,2029,5,17,0,89,795,0
Prop2015,Moro Cojo,0.38,0.43,0,0,0,0.02,0.17,0
Pixel2014,Moro Cojo,1784,2458,166,40,13,77,161,0
Prop2014,Moro Cojo,0.38,0.52,0.04,0.01,0,0.02,0.03,0
Pixel2013,Moro Cojo,1688,2666,11,1,51,45,302,1
Prop2013,Moro Cojo,0.35,0.56,0,0,0.01,0.01,0.06,0
Pixel2012,Moro Cojo,1773,2411,20,51,43,279,139,0
Prop2012,Moro Cojo,0.38,0.51,0,0.01,0.01,0.06,0.03,0
Pixel2011,Moro Cojo,1825,2531,1,13,19,14,328,0
Prop2011,Moro Cojo,0.39,0.53,0,0,0,0,0.07,0
Pixel2010,Moro Cojo,1738,2011,1,700,29,17,180,21
Prop2010,Moro Cojo,0.37,0.43,0,0.15,0.01,0,0.04,0
Pixel2009,Moro Cojo,1821,2519,87,48,1,128,53,1
Prop2009,Moro Cojo,0.39,0.54,0.02,0.01,0,0.03,0.01,0
Pixel2008,Moro Cojo,1797,2568,0,2,0,183,88,0
Prop2008,Moro Cojo,0.39,0.55,0,0,0,0.04,0.02,0
Pixel2007,Moro Cojo,501,679,26,53,4,1,98,0
Prop2007,Moro Cojo,0.37,0.5,0.02,0.04,0,0,0.07,0
Pixel2018,North Marsh,344,4839,0,6,0,3933,379,0
Prop2018,North Marsh,0.04,0.51,0,0,0,0.41,0.04,0
Pixel2017,North Marsh,355,4924,1,0,0,3937,486,0
Prop2017,North Marsh,0.04,0.51,0,0,0,0.41,0.05,0
Pixel2016,North Marsh,354,4789,0,3,0,4006,373,0
Prop2016,North Marsh,0.04,0.49,0,0,0,0.41,0.04,0
Pixel2015,North Marsh,338,4569,0,7,0,4013,440,0
Prop2015,North Marsh,0.03,0.47,0,0,0,0.41,0.05,0
Pixel2014,North Marsh,346,5305,7,7,3,3615,230,0
Prop2014,North Marsh,0.04,0.55,0,0,0,0.37,0.02,0
Pixel2013,North Marsh,295,5256,3,0,44,3600,339,2
Prop2013,North Marsh,0.03,0.55,0,0,0,0.38,0.04,0
Pixel2012,North Marsh,275,5338,1,0,9,3626,250,0
Prop2012,North Marsh,0.03,0.56,0,0,0,0.38,0.03,0
Pixel2011,North Marsh,330,5194,0,29,0,3305,1028,0
Prop2011,North Marsh,0.03,0.53,0,0,0,0.33,0.1,0
Pixel2010,North Marsh,316,4922,4,67,14,3652,511,61
Prop2010,North Marsh,0.03,0.52,0,0.01,0,0.38,0.05,0.01
Pixel2009,North Marsh,359,5255,13,3,2,3614,596,0
Prop2009,North Marsh,0.04,0.53,0,0,0,0.37,0.06,0
Pixel2008,North Marsh,346,5191,13,0,0,3615,526,4
Prop2008,North Marsh,0.04,0.54,0,0,0,0.37,0.05,0
Pixel2007,North Marsh,88,1455,19,2,0,1112,103,0
Prop2007,North Marsh,0.03,0.52,0.01,0,0,0.4,0.04,0
